span_index,ss_mp,ss_theta,ps_mp,ps_theta
0, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, -0.00883698, -0.01340245, 0.01677246, 0.00860972
0, -0.00796752, -0.03001590, 0.03896415, 0.01139671
0, 0.00189473, -0.04951060, 0.06617076, 0.00885887
0, 0.02003612, -0.07155682, 0.09798798, 0.00149409
0, 0.04574301, -0.09582482, 0.13401151, -0.01019971
0, 0.07830175, -0.12198488, 0.17383704, -0.02572466
0, 0.11699870, -0.14970726, 0.21706027, -0.04458284
0, 0.16112020, -0.17866222, 0.26327688, -0.06627637
0, 0.20995262, -0.20852002, 0.31208257, -0.09030734
0, 0.26278229, -0.23895095, 0.36307303, -0.11617785
0, 0.31889558, -0.26962525, 0.41584396, -0.14339002
0, 0.37757885, -0.30021320, 0.46999106, -0.17144594
0, 0.43811843, -0.33038506, 0.52511000, -0.19984771
0, 0.49980069, -0.35981109, 0.58079649, -0.22809743
0, 0.56191198, -0.38816157, 0.63664623, -0.25569722
0, 0.62373865, -0.41510676, 0.69225490, -0.28214917
0, 0.68458364, -0.44032575, 0.74722780, -0.30696772
0, 0.74413126, -0.46370067, 0.80139112, -0.32995139
0, 0.80244718, -0.48531670, 0.85479193, -0.35118272
0, 0.85961367, -0.50526784, 0.90748692, -0.37075660
0, 0.91571300, -0.52364810, 0.95953276, -0.38876792
0, 0.97082743, -0.54055146, 1.01098615, -0.40531159
0, 1.02503922, -0.55607194, 1.06190374, -0.42048249
0, 1.07843063, -0.57030353, 1.11234224, -0.43437553
0, 1.13108394, -0.58334023, 1.16235832, -0.44708559
0, 1.18308140, -0.59527606, 1.21200865, -0.45870757
0, 1.23450527, -0.60620500, 1.26134992, -0.46933637
0, 1.28543782, -0.61622106, 1.31043882, -0.47906688
0, 1.33596132, -0.62541824, 1.35933201, -0.48799400
0, 1.38615803, -0.63389054, 1.40808619, -0.49621262
0, 1.43611020, -0.64173197, 1.45675802, -0.50381763
0, 1.48590012, -0.64903652, 1.50540420, -0.51090394
0, 1.53561003, -0.65589820, 1.55408140, -0.51756643
0, 1.58531143, -0.66239999, 1.60283951, -0.52388871
0, 1.63503277, -0.66858087, 1.65170119, -0.52990916
0, 1.68479172, -0.67446880, 1.70068233, -0.53565489
0, 1.73460595, -0.68009172, 1.74979880, -0.54115300
0, 1.78449312, -0.68547761, 1.79906649, -0.54643058
0, 1.83447092, -0.69065441, 1.84850126, -0.55151472
0, 1.88455700, -0.69565009, 1.89811900, -0.55643254
0, 1.93476906, -0.70049261, 1.94793558, -0.56121112
0, 1.98512475, -0.70520992, 1.99796688, -0.56587756
0, 2.03564175, -0.70982999, 2.04822877, -0.57045896
0, 2.08633772, -0.71438077, 2.09873714, -0.57498242
0, 2.13723036, -0.71889021, 2.14950786, -0.57947504
0, 2.18833731, -0.72338629, 2.20055680, -0.58396391
0, 2.23967626, -0.72789695, 2.25189984, -0.58847613
0, 2.29126488, -0.73245015, 2.30355287, -0.59303880
0, 2.34312084, -0.73707386, 2.35553175, -0.59767902
0, 2.39526131, -0.74179584, 2.40785188, -0.60242372
0, 2.44769197, -0.74663941, 2.46051740, -0.60729598
0, 2.50040701, -0.75162344, 2.51352120, -0.61231505
0, 2.55340012, -0.75676664, 2.56685571, -0.61750001
0, 2.60666499, -0.76208767, 2.62051334, -0.62286994
0, 2.66019530, -0.76760522, 2.67448650, -0.62844391
0, 2.71398474, -0.77333799, 2.72876759, -0.63424101
0, 2.76802699, -0.77930466, 2.78334904, -0.64028032
0, 2.82231576, -0.78552390, 2.83822325, -0.64658091
0, 2.87684472, -0.79201441, 2.89338263, -0.65316186
0, 2.93160757, -0.79879488, 2.94881961, -0.66004225
0, 2.98659799, -0.80588398, 3.00452659, -0.66724116
0, 3.04180966, -0.81330040, 3.06049598, -0.67477766
0, 3.09723629, -0.82106283, 3.11672020, -0.68267084
0, 3.15287155, -0.82918995, 3.17319165, -0.69093978
0, 3.20870913, -0.83770046, 3.22990276, -0.69960355
0, 3.26474273, -0.84661303, 3.28684592, -0.70868123
0, 3.32097341, -0.85594815, 3.34402059, -0.71819599
0, 3.37743176, -0.86573356, 3.40145429, -0.72818736
0, 3.43415576, -0.87599878, 3.45918159, -0.73869896
0, 3.49118338, -0.88677336, 3.51723704, -0.74977440
0, 3.54855260, -0.89808682, 3.57565521, -0.76145730
0, 3.60630139, -0.90996870, 3.63447066, -0.77379128
0, 3.66446772, -0.92244853, 3.69371794, -0.78681997
0, 3.72308957, -0.93555585, 3.75343161, -0.80058697
0, 3.78220492, -0.94932019, 3.81364624, -0.81513590
0, 3.84185173, -0.96377108, 3.87439639, -0.83051039
0, 3.90206798, -0.97893807, 3.93571662, -0.84675404
0, 3.96289164, -0.99485067, 3.99764148, -0.86391049
0, 4.02436070, -1.01153843, 4.06020555, -0.88202335
0, 4.08651311, -1.02903088, 4.12344336, -0.90113623
0, 4.14938687, -1.04735755, 4.18738950, -0.92129275
0, 4.21301994, -1.06654798, 4.25207851, -0.94253653
